timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_accuracy_m
1735024800000,-0.02161,-0.02594,9.7933,0.00702,-0.001276,-0.014974,12.9715925,77.5946123,5.0
1735024800020,-0.03254,0.01738,9.84484,0.011636,0.006566,0.001105,,,
1735024800040,-0.11075,-0.1522,9.84695,0.013111,0.000417,-0.001063,,,
1735024800060,0.07977,-0.21803,9.76316,0.004904,0.008734,-0.002406,,,
1735024800080,0.05649,0.03723,9.92735,-0.011132,0.005683,-0.015145,,,
1735024800100,-0.39299,-0.09103,9.67263,0.00876,0.006643,-0.012191,,,
1735024800120,0.1271,-0.15033,9.79706,-0.002939,0.001144,0.008186,,,
1735024800140,0.09576,0.05248,9.90749,0.004785,-0.00627,-0.007174,,,
1735024800160,-0.0705,0.0749,9.77248,0.023358,-0.008193,-0.010989,,,
1735024800180,0.11527,0.21328,9.88585,0.008358,0.014263,-0.00094,,,
1735024800200,-0.21344,-0.07981,9.95293,-0.014437,0.000335,0.002532,,,
1735024800220,-0.04734,0.10854,9.89712,0.023214,0.0062,-0.006094,,,
1735024800240,-0.08427,-0.12474,9.95284,-0.005668,-0.000703,0.007493,,,
1735024800260,-0.10852,-0.04405,9.53381,-0.010825,-0.005677,0.004158,,,
1735024800280,0.17902,-0.00277,9.8492,0.00168,0.010847,0.008934,,,
1735024800300,0.04105,-0.15164,9.94551,0.00381,0.012269,-0.000299,,,
1735024800320,0.29297,-0.05383,10.04896,0.001151,-0.005163,-0.011284,,,
1735024800340,-0.02265,0.2135,9.93246,0.006889,-0.023759,0.00711,,,
1735024800360,0.08338,-0.08249,9.71589,-2.3e-05,0.017249,-0.010551,,,
1735024800380,-0.06417,0.20427,9.74308,-0.003643,0.000978,-0.012413,,,
1735024800400,0.03299,-0.18144,9.94278,3.2e-05,0.022834,0.002808,,,
1735024800420,0.20485,-0.19549,9.79168,0.003231,0.017457,-0.016809,,,
