timestamp_ms,lat,lon,east_m,north_m
1735024800000,12.971602155956683,77.5946,0.0,0.24
1735024800020,12.971604311913364,77.5946,0.0,0.48
1735024800040,12.971606467870046,77.5946,0.0,0.72
1735024800060,12.971608623826729,77.5946,0.0,0.96
1735024800080,12.97161077978341,77.5946,0.0,1.2
1735024800100,12.971612935740092,77.5946,0.0,1.44
1735024800120,12.971615091696775,77.5946,0.0,1.68
1735024800140,12.971617247653455,77.5946,0.0,1.92
1735024800160,12.971619403610138,77.5946,0.0,2.16
1735024800180,12.971621559566819,77.5946,0.0,2.4000000000000004
1735024800200,12.971623715523501,77.5946,0.0,2.6400000000000006
1735024800220,12.971625871480184,77.5946,0.0,2.880000000000001
1735024800240,12.971628027436864,77.5946,0.0,3.120000000000001
1735024800260,12.971630183393547,77.5946,0.0,3.360000000000001
1735024800280,12.97163233935023,77.5946,0.0,3.6000000000000014
1735024800300,12.97163449530691,77.5946,0.0,3.8400000000000016
1735024800320,12.971636651263593,77.5946,0.0,4.080000000000002
1735024800340,12.971638807220275,77.5946,0.0,4.320000000000002
1735024800360,12.971640963176956,77.5946,0.0,4.560000000000002
1735024800380,12.971643119133638,77.5946,0.0,4.8000000000000025
1735024800400,12.97164527509032,77.5946,0.0,5.040000000000003
1735024800420,12.971647431047002,77.5946,0.0,5.280000000000003
1735024800440,12.971649587003684,77.5946,0.0,5.520000000000003
1735024800460,12.971651742960367,77.5946,0.0,5.760000000000003
1735024800480,12.971653898917047,77.5946,0.0,6.0000000000000036
1735024800500,12.97165605487373,77.5946,0.0,6.240000000000004
1735024800520,12.97165821083041,77.5946,0.0,6.480000000000004
1735024800540,12.971660366787093,77.5946,0.0,6.720000000000004
1735024800560,12.971662522743776,77.5946,0.0,6.960000000000004
1735024800580,12.971664678700456,77.5946,0.0,7.200000000000005
1735024800600,12.971666834657139,77.5946,0.0,7.440000000000005
1735024800620,12.971668990613821,77.5946,0.0,7.680000000000005
1735024800640,12.971671146570502,77.5946,0.0,7.920000000000005
1735024800660,12.971673302527185,77.5946,0.0,8.160000000000005
1735024800680,12.971675458483867,77.5946,0.0,8.400000000000006
1735024800700,12.971677614440548,77.5946,0.0,8.640000000000006
1735024800720,12.97167977039723,77.5946,0.0,8.880000000000006
1735024800740,12.971681926353913,77.5946,0.0,9.120000000000006
1735024800760,12.971684082310594,77.5946,0.0,9.360000000000007
1735024800780,12.971686238267276,77.5946,0.0,9.600000000000007
1735024800800,12.971688394223959,77.5946,0.0,9.840000000000007
1735024800820,12.97169055018064,77.5946,0.0,10.080000000000007
1735024800840,12.971692706137322,77.5946,0.0,10.320000000000007
1735024800860,12.971694862094003,77.5946,0.0,10.560000000000008
1735024800880,12.971697018050685,77.5946,0.0,10.800000000000008
1735024800900,12.971699174007368,77.5946,0.0,11.040000000000008
1735024800920,12.971701329964048,77.5946,0.0,11.280000000000008
1735024800940,12.971703485920731,77.5946,0.0,11.520000000000008
1735024800960,12.971705641877413,77.5946,0.0,11.760000000000009
1735024800980,12.971707797834094,77.5946,0.0,12.000000000000009
1735024801000,12.971709953790777,77.5946,0.0,12.240000000000009
1735024801020,12.97171210974746,77.5946,0.0,12.48000000000001
1735024801040,12.97171426570414,77.5946,0.0,12.72000000000001
1735024801060,12.971716421660823,77.5946,0.0,12.96000000000001
1735024801080,12.971718577617505,77.5946,0.0,13.20000000000001
1735024801100,12.971720733574186,77.5946,0.0,13.44000000000001
1735024801120,12.971722889530868,77.5946,0.0,13.68000000000001
1735024801140,12.97172504548755,77.5946,0.0,13.92000000000001
1735024801160,12.971727201444232,77.5946,0.0,14.16000000000001
1735024801180,12.971729357400914,77.5946,0.0,14.400000000000011
1735024801200,12.971731513357595,77.5946,0.0,14.640000000000011
1735024801220,12.971733669314277,77.5946,0.0,14.880000000000011
1735024801240,12.97173582527096,77.5946,0.0,15.120000000000012
1735024801260,12.97173798122764,77.5946,0.0,15.360000000000012
1735024801280,12.971740137184323,77.5946,0.0,15.600000000000012
1735024801300,12.971742293141006,77.5946,0.0,15.840000000000012
1735024801320,12.971744449097686,77.5946,0.0,16.080000000000013
1735024801340,12.971746605054369,77.5946,0.0,16.32000000000001
1735024801360,12.971748761011051,77.5946,0.0,16.56000000000001
1735024801380,12.971750916967732,77.5946,0.0,16.800000000000008
1735024801400,12.971753072924415,77.5946,0.0,17.040000000000006
1735024801420,12.971755228881097,77.5946,0.0,17.280000000000005
1735024801440,12.971757384837778,77.5946,0.0,17.520000000000003
1735024801460,12.97175954079446,77.5946,0.0,17.76
1735024801480,12.971761696751141,77.5946,0.0,18.0
1735024801500,12.971763852707824,77.5946,0.0,18.24
1735024801520,12.971766008664506,77.5946,0.0,18.479999999999997
1735024801540,12.971768164621187,77.5946,0.0,18.719999999999995
